,TF-IDF,TF-IDF_Z,sub_indicator
reading,0.02227346431551903,200.72376558867353,reading
student,0.019344662487496396,174.25392314881645,student
school,0.014193285341032147,127.69695227064358,school
program,0.013473904060336859,121.19534845027076,program
intervention,0.011879712927787214,106.7874128590477,intervention
instruction,0.010842374426397343,97.41218424990497,instruction
teacher,0.01016604714265177,91.2996926271418,teacher
child,0.010153925926109812,91.19014383863204,child
group,0.009494593128139626,85.23124449941528,group
study,0.009077025587481692,81.45736437428695,study
effect,0.008618578348166176,77.31402286324246,effect
writing,0.007740005180720088,69.37367910502884,writing
grade,0.007601636912605997,68.12313827955802,grade
achievement,0.007562775411063795,67.77191689852903,achievement
comprehension,0.007481963017671113,67.04155293200002,comprehension
literacy,0.007403602625937256,66.33334959680849,literacy
strategy,0.007349727999864053,65.84644302292578,strategy
language,0.0068751326619602374,61.55715868254888,language
skill,0.006874867053565079,61.554758174496996,skill
learning,0.006178557194474131,55.26166859666775,learning
word,0.006041469983762912,54.022705675610254,word
classroom,0.005880212734565167,52.565299463380825,classroom
impact,0.005750738783325239,51.39514344374311,impact
control,0.005708790388636935,51.01602342702488,control
year,0.005703699603535482,50.97001407321973,year
result,0.005433153298433618,48.52487831831385,result
reader,0.005348643911630654,47.76110176915974,reader
recovery,0.0051470689904670195,45.93931363997438,recovery
reading recovery,0.005058517723149283,45.13900749726323,reading recovery
english,0.005029124287536307,44.87335633507215,english
